process,product_name,type,unit,value,product_type,carbon_content,data_source
"terephthalic_acid, from p-xylene by air oxidation",steam_high,UTILITIES,MJ,-6.3414375384615385,intermediate,0.0,ihsmarkit
"vinyl_chloride, from ethylene by a balanced process",steam_high,UTILITIES,MJ,-0.9472,intermediate,0.0,ihsmarkit
"gpps, by continuous bulk polymerization",styrene,RAW MATERIALS,kg,-1.0074999999999998,intermediate,0.923,ihsmarkit
"hips, by continuous bulk polymerization",styrene,RAW MATERIALS,kg,-0.93315,intermediate,0.923,ihsmarkit
"dinitrotoluene, from toluene by nitration",sulfuric_acid,RAW MATERIALS,kg,-0.027,raw_material,0.0,ihsmarkit
"polymeric_mdi, by phosgenation",sulfuric_acid,RAW MATERIALS,kg,-0.0056633832940273,raw_material,0.0,ihsmarkit
"pet, by tpa process",terephthalic_acid,RAW MATERIALS,kg,-0.860735,intermediate,0.578,ihsmarkit
"terephthalic_acid, from p-xylene by air oxidation",terephthalic_acid,PRODUCT,kg,1.0,intermediate,0.578,ihsmarkit
"dinitrotoluene, from toluene by nitration",toluene,RAW MATERIALS,kg,-0.52549,intermediate,0.91304,ihsmarkit
"pur_flexible, from toluene diisocyanate and polyol",toluene_diisocyanate,RAW MATERIALS,kg,-0.38845,intermediate,0.621,ihsmarkit
"pvc, by suspension polymerization",vinyl_chloride,RAW MATERIALS,kg,-1.00538,intermediate,0.384,ihsmarkit
"vinyl_chloride, from ethylene by a balanced process",vinyl_chloride,PRODUCT,kg,1.0,intermediate,0.384,ihsmarkit
"adipic_acid, from phenol via cyclohexanol",water,UTILITIES,kg,-0.6478476461892667,raw_material,0.0,ihsmarkit
"hips, by continuous bulk polymerization",water,UTILITIES,kg,-0.208635,raw_material,0.0,ihsmarkit
"nitrobenzene, from benzene by nitration",water,UTILITIES,kg,-0.584175,raw_material,0.0,ihsmarkit
"pet, by tpa process",water,UTILITIES,kg,-0.06718,raw_material,0.0,ihsmarkit
"polybutadiene, by solution process",water,UTILITIES,kg,-2.652168,raw_material,0.0,ihsmarkit
"polymeric_mdi, by phosgenation",water,UTILITIES,kg,-1.205678193545816,raw_material,0.0,ihsmarkit
"pp, by gas phase process",water,UTILITIES,kg,-0.1536933333333333,raw_material,0.0,ihsmarkit
"pvc, by suspension polymerization",water,UTILITIES,kg,-1.201736666666667,raw_material,0.0,ihsmarkit
"terephthalic_acid, from p-xylene by air oxidation",water,UTILITIES,kg,-1.8881676923076924,raw_material,0.0,ihsmarkit
"toluene_diisocyanate, from dinitrotoluene by phosgenation",carbon_monoxide,RAW MATERIALS,kg,-0.2601768934202356,intermediate,0.42857142857142855,ihsmarkit
"toluene_diisocyanate, from dinitrotoluene by phosgenation",co2_emission,EMISSION,kg,0.0650955299232763,emission,0.2727272727272727,ihsmarkit
"toluene_diisocyanate, from dinitrotoluene by phosgenation",cooling_water,UTILITIES,MJ,-13.985523527141378,intermediate,0.0,ihsmarkit
"toluene_diisocyanate, from dinitrotoluene by phosgenation",dinitrotoluene,RAW MATERIALS,kg,-1.1938943631461911,intermediate,0.462,ihsmarkit
"toluene_diisocyanate, from dinitrotoluene by phosgenation",electricity,UTILITIES,kWh,-1.7977738556809617,intermediate,0.0,ihsmarkit
"toluene_diisocyanate, from dinitrotoluene by phosgenation",heat_high,UTILITIES,MJ,-16.373970862396174,intermediate,0.0,ihsmarkit
"toluene_diisocyanate, from dinitrotoluene by phosgenation",hydrogen,RAW MATERIALS,kg,-0.0793055548282115,intermediate,0.0,ihsmarkit
"toluene_diisocyanate, from dinitrotoluene by phosgenation",nitrogen_liquid,UTILITIES,kg,-0.0573649451120802,intermediate,0.0,ihsmarkit
"toluene_diisocyanate, from dinitrotoluene by phosgenation",oxygen_liquid,RAW MATERIALS,kg,-0.0913282066565495,intermediate,0.0,ihsmarkit
"toluene_diisocyanate, from dinitrotoluene by phosgenation",sodium_hydroxide,RAW MATERIALS,kg,-0.0169266067399646,raw_material,0.0,ihsmarkit
"toluene_diisocyanate, from dinitrotoluene by phosgenation",steam_high,UTILITIES,MJ,-11.174160906132965,intermediate,0.0,ihsmarkit
"toluene_diisocyanate, from dinitrotoluene by phosgenation",sulfuric_acid,RAW MATERIALS,kg,-0.0106989142037941,raw_material,0.0,ihsmarkit
"toluene_diisocyanate, from dinitrotoluene by phosgenation",toluene_diisocyanate,PRODUCT,kg,1.0,intermediate,0.621,ihsmarkit
"toluene_diisocyanate, from dinitrotoluene by phosgenation",water,UTILITIES,kg,-2.198031964921588,raw_material,0.0,ihsmarkit
"ethylbenzene, from benzene via liquid phase alkylation",benzene,RAW MATERIALS,kg,-0.7271824923950501,intermediate,0.9230769230769231,ihsmarkit
"ethylbenzene, from benzene via liquid phase alkylation",co2_emission,EMISSION,kg,0.021000115427295,emission,0.2727272727272727,ihsmarkit
"ethylbenzene, from benzene via liquid phase alkylation",cooling_water,UTILITIES,MJ,-0.11139749104285417,intermediate,0.0,ihsmarkit
"ethylbenzene, from benzene via liquid phase alkylation",electricity,UTILITIES,kWh,-0.0457700998416699,intermediate,0.0,ihsmarkit
"ethylbenzene, from benzene via liquid phase alkylation",ethylbenzene,PRODUCT,kg,1.0,intermediate,0.905,ihsmarkit
"ethylbenzene, from benzene via liquid phase alkylation",ethylene,RAW MATERIALS,kg,-0.2611335736490383,intermediate,0.85714,ihsmarkit
"ethylbenzene, from benzene via liquid phase alkylation",heat_high,UTILITIES,MJ,-2.556932010492866,intermediate,0.0,ihsmarkit
"phenol, from cumene",co2_emission,EMISSION,kg,0.2004084268504156,emission,0.2727272727272727,ihsmarkit
"phenol, from cumene",cooling_water,UTILITIES,MJ,-6.412758695108607,intermediate,0.0,ihsmarkit
"phenol, from cumene",cumene,RAW MATERIALS,kg,-0.9714653422656088,intermediate,0.899,ihsmarkit
"phenol, from cumene",electricity,UTILITIES,kWh,-0.1336481014472984,intermediate,0.0,ihsmarkit
"phenol, from cumene",heat_high,UTILITIES,MJ,-0.1416407974409011,intermediate,0.0,ihsmarkit
"phenol, from cumene",hydrogen,RAW MATERIALS,kg,-0.0001895030055812,intermediate,0.0,ihsmarkit
"phenol, from cumene",nitrogen_liquid,UTILITIES,kg,-0.029718959402863,intermediate,0.0,ihsmarkit
"phenol, from cumene",oxygen_liquid,RAW MATERIALS,kg,-0.0696541829477305,intermediate,0.0,ihsmarkit
"phenol, from cumene",phenol,PRODUCT,kg,1.0,intermediate,0.766,ihsmarkit
"phenol, from cumene",steam_high,UTILITIES,MJ,-11.579729018978846,intermediate,0.0,ihsmarkit
"phenol, from cumene",water,UTILITIES,kg,-0.1925571104052304,raw_material,0.0,ihsmarkit
"propylene, from ethylene by dimerization and oct",co2_emission,EMISSION,kg,0.1164631074538917,emission,0.2727272727272727,ihsmarkit
"propylene, from ethylene by dimerization and oct",cooling_water,UTILITIES,MJ,-1.7268309482496318,intermediate,0.0,ihsmarkit
"propylene, from ethylene by dimerization and oct",electricity,UTILITIES,kWh,-0.4610318855428705,intermediate,0.0,ihsmarkit
"propylene, from ethylene by dimerization and oct",ethylene,RAW MATERIALS,kg,-1.091568740195186,intermediate,0.85714,ihsmarkit
"propylene, from ethylene by dimerization and oct",heat_high,UTILITIES,MJ,-1.1898263136154257,intermediate,0.0,ihsmarkit
