,Product,Location,GHG,Biodiversity,Scenario,Year,Ammonia,Carbon monoxide,NMVOC,Nitrogen oxides,Particulates,Sulfur dioxide,Sulfur oxides
1403,wheat_straw_lbdv,WAF,0.06236663779743887,0.5200089239494903,scenRCP1p9,2050,0.0001611377325018818,7.570585186443509e-05,2.6832436138783922e-05,0.00016449074976484707,7.375514637070987e-06,3.802676668275581e-05,7.193497030101961e-08
1404,forest_residue,BZ,0.020487723525999275,1.2024733173901718,scenRCP1p9,2050,1.5974091837876213e-06,0.0006227441259377885,0.00019084115863859946,9.828272291503238e-05,6.592527223350384e-06,1.918256374481867e-05,2.329366616694448e-08
1405,rice_straw,SN,0.08809737576048302,0.4974168662416138,scenRCP1p9,2050,0.00015281200289129864,3.958893791433638e-05,1.4948803703646217e-05,0.00010884000888603497,3.769465746412409e-06,1.8891717683936164e-05,3.1361839127164724e-08
1406,forest_residue,CF,0.025351759653410674,0.9728025787340648,scenRCP1p9,2050,1.642313715422541e-06,0.0006867099653729803,0.00021119211298883958,0.0001252330350396224,7.79949168791618e-06,2.49541746462544e-05,2.9007175871254806e-08
1407,co2_feedstock_fossil,AO,0.0,0.0,scenRCP1p9,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1408,maize_stover,SI,0.14632506167317497,2.6868839146900556,scenRCP1p9,2050,0.0006602937621821386,0.0002615615001909668,9.669422671946301e-05,0.0005549561151677138,2.6111896605409405e-05,0.00018730394617758785,2.7110769907215796e-07
1409,wheat_straw,AL,0.3457686069664684,9.515152286287465,scenRCP1p9,2050,0.0008044483907492106,0.0007852547841471018,0.00024710111257942387,0.0014264548709684367,7.57862693669661e-05,0.0002842741974866548,7.28431830954577e-07
1410,maize_stover,JO,0.03646904751464066,0.3801565827486972,scenRCP1p9,2050,0.00011018436315616412,7.005657920683391e-05,2.978595591903612e-05,0.0001391596389255999,7.398154998992197e-06,6.877243698846771e-05,8.569986165663599e-08
1411,rice_straw,ID,0.09694230414246546,2.792864708846173,scenRCP1p9,2050,0.0003441086465986879,4.0964876823751236e-05,1.976050178776472e-05,0.0001678769841583502,3.954799615469927e-06,2.688999343351418e-05,3.273698871781956e-08
1412,maize_grain,GA,0.11820980910342326,9.51460047705316,scenRCP1p9,2050,0.00043266979416432507,0.00022440578903208381,7.470329181777336e-05,0.00044705016527394996,2.146973384943631e-05,7.669080688858442e-05,2.364147265103136e-07
1413,co2_feedstock_fossil,LA,0.0,0.0,scenRCP1p9,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1414,agricultural_residue_lbdv,HU,0.13677613571141892,0.6412940654445092,scenRCP1p9,2050,0.0012849417836822067,0.0001346413561039196,6.134926329607292e-05,0.0005604060425763225,1.2875475311942779e-05,8.1562507369701e-05,1.255604346259224e-07
1415,forest_residue_lbdv,CF,0.025351759653410674,0.9728025787340648,scenRCP1p9,2050,1.642313715422541e-06,0.0006867099653729803,0.00021119211298883958,0.0001252330350396224,7.79949168791618e-06,2.49541746462544e-05,2.9007175871254806e-08
1416,maize_grain,HU,0.40004731712962444,1.6915676137658606,scenRCP1p9,2050,0.003998086635400948,0.0003688110725917123,0.00017928645204223575,0.0016737774165230103,3.552832337346574e-05,0.00026068154267217236,3.4754808301144203e-07
1417,sugarcane_tops_and_leaves_lbdv,World,0.09965442937007533,1.8078272419089825,scenRCP1p9,2050,0.00045383841177389257,0.00010243086719059188,4.3004947303181655e-05,0.0003076986174574362,9.896753636314482e-06,6.623621020063355e-05,6.90446046157242e-08
1418,rice_straw,MZ,0.5286527990488378,6.037699410084573,scenRCP1p9,2050,0.00021878017566562217,0.0002526598037200605,7.8388863262609e-05,0.0004569943921357282,2.4251625975284647e-05,7.485149870070247e-05,1.9731767921688998e-07
1419,barley_straw,BA,0.3223701724822285,5.681053477359567,scenRCP1p9,2050,0.0015113227697334788,0.00047890608757110735,0.00015927143421867488,0.001096199008494859,4.524290469350399e-05,0.0001918161816415496,5.478571192295588e-07
1420,forest_residue,MG,0.020290507632926176,77.18305850463497,scenRCP1p9,2050,1.5843716092974897e-06,0.0006362998716333203,0.00019506264401885362,9.316744809501445e-05,6.387231050638296e-06,2.0136649658112217e-05,2.371246278809796e-08
1421,forest_residue,GE,0.018916478916984718,23.500403599960812,scenRCP1p9,2050,1.5558600666740684e-06,0.0006068965406175694,0.00018677438372244348,8.717853025547958e-05,6.0451521323754285e-06,1.9431760638532304e-05,2.195492860125871e-08
1422,rapeseed_straw,NZ,0.18613280525142184,4.436827315700531,scenRCP1p9,2050,0.0015822419217373243,6.996397882453491e-05,4.581549829018934e-05,0.000601676303530896,5.527761296025455e-06,6.167701415778155e-05,5.987375567470458e-08
1423,agricultural_residue_lbdv,PT,0.11885339961188758,7.186723727969471,scenRCP1p9,2050,0.0007356919885660439,0.0002259997565410858,8.612353660607398e-05,0.0005664071901976001,2.2428123171468934e-05,0.00012007820208281841,1.3274196605621387e-07
1424,maize_grain,DO,0.7775601173886175,279.42224432032333,scenRCP1p9,2050,0.0029037405167737806,0.001687325311754334,0.0005522748639482952,0.003251973197622444,0.00016166444253653468,0.0005526747676734876,1.7825320785567253e-06
1425,sorghum_straw,ZA,0.09914355735284522,4.463071461798161,scenRCP1p9,2050,0.0006814729973615066,0.00012949491462383797,5.095743664883175e-05,0.0003973297188985236,1.2184854309350254e-05,7.129862092281674e-05,1.739223623600581e-07
1426,agricultural_residue,SAF,0.08026938481486444,2.699830263729931,scenRCP1p9,2050,0.000559847239440693,7.547016287866033e-05,3.5963338231956326e-05,0.0002897265491466307,7.2642232425612644e-06,6.842859367759197e-05,8.42219698070217e-08
1427,sugarcane_tops_and_leaves_lbdv,RCAM,0.1006767379564735,5.203610264491745,scenRCP1p9,2050,0.0004965264497968151,0.00011139172990495197,4.659188794244311e-05,0.00033833099061125315,1.064698749545517e-05,7.41269296275722e-05,7.223394887733525e-08
